Title,Abstract,Comments 1,Comments 2,Screener 1,Screener 2,Eunice,Final Decision
Parental Perception on Usage of AI Chatbot to Understand Paediatric Otorhinolaryngology Condition: A Survey,"Artificial intelligence (AI) chatbots such as ChatGPT have the potential to assist parents and caregivers in understanding their child’s general health condition. Despite the potential benefits research on parents perceptions of using AI chatbots is still limited. This study explored parents’ and caregivers’ perceptions of AI chatbots to understand their child’s Otorhinolaryngology (ORL) condition. A cross-sectional survey was conducted among parents or caregivers of children with ORL conditions attending Paediatric ORL clinic over one month. The survey explored the familiarity with AI chatbots, perception, openness, and factors influencing their usage to understand their child’s ORL condition. 38 responses were obtained. Awareness of AI chatbots among parents/ caregivers was considered average, with only 52.63% (n = 20) having heard about the technology. A smaller subset used AI chatbots, i.e., ChatGPT (70.00%, n = 14), with 21.43% (n = 3) used ChatGPT specifically for pediatric health-related information. 68.42% preferred the explanation provided by doctors compared to the AI chatbot (n = 26), although the majority agreed that the AI chatbot might help them to understand health information better than traditional resources like web search engines, with 60.53% (n = 23). Most participants (60.53% n = 23) expressed interest in using AI chatbots. High openness was shown when using an AI chatbot to obtain general information about the condition (76.32%, n = 29) and symptom identification (71.05%, n = 7). The participants expressed their interest in adopting ChatGPT for health-related use, such as ease of understanding (68.42%, n = 26), accurate information (65.79%, n = 25), and easing communication with doctors (60.53%, n = 23). We found a high preference for medical consultation with doctors compared to AI chatbots (73.68%, n = 28). Familiarity with AI chatbots and their potential role in healthcare is still scarce in the community. Future research should continue exploring the potential of ChatGPT as a health AI chatbot and increase its accuracy in delivering health-related information. © Association of Otolaryngologists of India 2025.",,"This study surveyed *humans* on their familiarity with chatbots, not evaluated chatbots.",Yes,No,"Technically, most of the paper is on how parents feel using a chatbot, so would say no. There is a smaller part of the study comparing ChatGPT responses to health questions versus a doctor's responses, which could be perceived as a ""clinical task,"" but it's not the main focus of the paper so would lean no.",No
"Assessing the reliability of ChatGPT: a content analysis of self-generated and self-answered questions on clear aligners, TADs and digital imaging","INTRODUCTION: Artificial Intelligence (AI) is a tool that is already part of our 
reality, and this is an opportunity to understand how it can be useful in 
interacting with patients and providing valuable information about orthodontics.
OBJECTIVE: This study evaluated the accuracy of ChatGPT in providing accurate 
and quality information to answer questions on Clear aligners, Temporary 
anchorage devices and Digital imaging in orthodontics.
METHODS: forty-five questions and answers were generated by the ChatGPT 4.0, and 
analyzed separately by five orthodontists. The evaluators independently rated 
the quality of information provided on a Likert scale, in which higher scores 
indicated greater quality of information (1 = very poor; 2 = poor; 3 = 
acceptable; 4 = good; 5 = very good). The Kruskal-Wallis H test (p< 0.05) and 
post-hoc pairwise comparisons with the Bonferroni correction were performed.
RESULTS: From the 225 evaluations of the five different evaluators, 11 (4.9%) 
were considered as very poor, 4 (1.8%) as poor, and 15 (6.7%) as acceptable. The 
majority were considered as good [34 (15,1%)] and very good [161 (71.6%)]. 
Regarding evaluators' scores, a slight agreement was perceived, with Fleiss's 
Kappa equal to 0.004.
CONCLUSIONS: ChatGPT has proven effective in providing quality answers related 
to clear aligners, temporary anchorage devices, and digital imaging within the 
context of interest of orthodontics.

INTRODUÇÃO: A Inteligência Artificial (IA) é uma ferramenta que já faz parte de 
nossa realidade, e esta é uma oportunidade de entendermos como ela pode ser útil 
na interação com os pacientes e no fornecimento de informações valiosas sobre 
Ortodontia.
OBJETIVO: O objetivo deste estudo foi avaliar a precisão do ChatGPT em responder 
a perguntas sobre Alinhadores transparentes, Dispositivos de ancoragem 
temporária, e Imagens digitais em Ortodontia.
MÉTODOS: 45 perguntas e respostas foram geradas pelo ChatGPT 4.0 e analisadas 
separadamente por cinco ortodontistas que, de forma independente, avaliaram a 
qualidade das informações fornecidas, usando uma escala de Likert, na qual 
pontuações mais altas indicavam uma maior qualidade das informações (1 = muito 
ruim; 2 = ruim; 3 = aceitável; 4 = bom; 5 = muito bom). Aplicou-se o teste H de 
Kruskal-Wallis (p < 0,05) e comparações pareadas post-hoc com correção de 
Bonferroni.
RESULTADOS: Das 225 avaliações dos cinco avaliadores diferentes, 11 (4,9%) foram 
consideradas como muito ruins, 4 (1,8%) como ruins, e 15 (6,7%) como aceitáveis. 
A maioria foi considerada boa [34 (15,1%)] ou muito boa [161 (71,6%)]. Com 
relação às pontuações dos avaliadores, percebeu-se uma leve concordância, com o 
Kappa de Fleiss igual a 0,004.
CONCLUSÕES: O ChatGPT mostrou eficácia em fornecer respostas de qualidade para 
questões relacionadas a Alinhadores transparentes, Dispositivos de ancoragem 
temporária e Imagens digitais.",,I am torn on this one as it makes GPT generate both questions and answers - Anton - I concluded that making questions is not clinical,Yes,No,"Also torn, my rationale for Yes is that even though they used GPT to generate the questions (not clinical), it feels like it's because the researchers were lazy and it's a bad study. I think the core intent though was to evaluate the ability to answer clinical questions like those that could be asked to an orthodontist. I'm a bad tiebreaker :^(",Yes
Use of Natural Language Processing to Infer Sites of Metastatic Disease From Radiology Reports at Scale,"PURPOSE To evaluate natural language processing (NLP) methods to infer metastatic sites from radiology reports. METHODS A set of 4,522 computed tomography (CT) reports of 550 patients with 14 types of cancer was used to fine-tune four clinical large language models (LLMs) for multilabel classification of metastatic sites. We also developed an NLP information extraction (IE) system (on the basis of named entity recognition, assertion status detection, and relation extraction) for comparison. Model performances were measured by F1 scores on test and three external validation sets. The best model was used to facilitate analysis of metastatic frequencies in a cohort study of 6,555 patients with 53,838 CT reports. RESULTS The RadBERT, BioBERT, GatorTron-base, and GatorTron-medium LLMs achieved F1 scores of 0.84, 0.87, 0.89, and 0.91, respectively, on the test set. The IE system performed best, achieving an F1 score of 0.93. F1 scores of the IE system by individual cancer type ranged from 0.89 to 0.96. The IE system attained F1 scores of 0.89, 0.83, and 0.81, respectively, on external validation sets including additional cancer types, positron emission tomography-CT,and magnetic resonance imaging scans, respectively. In our cohort study, we found that for colorectal cancer, liver-only metastases were higher in de novo stage IV versus recurrent patients (29.7% v 12.2%; P <.001). Conversely, lung-only metastases were more frequent in recurrent versus de novo stage IV patients (17.2% v 7.3%; P <.001). CONCLUSION We developed an IE system that accurately infers metastatic sites in multiple primary cancers from radiology reports. It has explainable methods and performs better than some clinical LLMs. The inferred metastatic phenotypes could enhance cancer research databases and clinical trial matching, and identify potential patients for oligometastatic interventions.  © 2024 American Society of Clinical Oncology.",Data extraction task,"A study evaluating *non-generative* LLMs at infering metastatic sites from the pathology reports. In my understanding this does not pass Sully's initial conditions, but satisfies the broadened ones of any clinical task and any model, including non-generative. Need to confirm - posted in slack",No,Maybe?,Not a clinical task,No
A comparative study of large language model-based zero-shot inference and task-specific supervised classification of breast cancer pathology reports,"Objective: Although supervised machine learning is popular for information extraction from clinical notes, creating large annotated datasets requires extensive domain expertise and is time-consuming. Meanwhile, large language models (LLMs) have demonstrated promising transfer learning capability. In this study, we explored whether recent LLMs could reduce the need for large-scale data annotations. Materials and Methods: We curated a dataset of 769 breast cancer pathology reports, manually labeled with 12 categories, to compare zero-shot classification capability of the following LLMs: GPT-4, GPT-3.5, Starling, and ClinicalCamel, with task-specific supervised classification performance of 3 models: random forests, long short-term memory networks with attention (LSTM-Att), and the UCSF-BERT model. Results: Across all 12 tasks, the GPT-4 model performed either significantly better than or as well as the best supervised model, LSTM-Att (average macro F1-score of 0.86 vs 0.75), with advantage on tasks with high label imbalance. Other LLMs demonstrated poor performance. Frequent GPT-4 error categories included incorrect inferences from multiple samples and from history, and complex task design, and several LSTM-Att errors were related to poor generalization to the test set. Discussion: On tasks where large annotated datasets cannot be easily collected, LLMs can reduce the burden of data labeling. However, if the use of LLMs is prohibitive, the use of simpler models with large annotated datasets can provide comparable results. Conclusions: GPT-4 demonstrated the potential to speed up the execution of clinical NLP studies by reducing the need for large annotated datasets. This may increase the utilization of NLP-based variables and outcomes in clinical studies.  © 2024 The Author(s).",,"Compare LLMs with supervised methods in classifying breast cancer pathology reports. - Again, to confirm on Slack.",Yes,Maybe?,This is a data extraction NER task. Not clinical,No
Exposing Vulnerabilities in Clinical LLMs Through Data Poisoning Attacks: Case Study in Breast Cancer,"Training Large Language Models (LLMs) with billions of parameters on a dataset and publishing the model for public access is the standard practice currently. Despite their transformative impact on natural language processing, public LLMs present notable vulnerabilities given the source of training data is often web-based or crowdsourced, and hence can be manipulated by perpetrators. We delve into the vulnerabilities of clinical LLMs, particularly BioGPT which is trained on publicly available biomedical literature and clinical notes from MIMIC-III, in the realm of data poisoning attacks. Exploring susceptibility to data poisoning-based attacks on de-identified breast cancer clinical notes, our approach is the first one to assess the extent of such attacks and our findings reveal successful manipulation of LLM outputs. Through this work, we emphasize on the urgency of comprehending these vulnerabilities in LLMs, and encourage the mindful and responsible usage of LLMs in the clinical domain.",,"eval of ""poisoning"" of an LLM",No,Yes,Would argue that the task being poisoned is a clinical task (answering q's related to treatment + side effects). Eval of a vulnerability of the LLM in performing that clinical task,Yes
Simulate Scientific Reasoning with Multiple Large Language Models: An Application to Alzheimer’s Disease Combinatorial Therapy,"Motivation This study aims to develop an AI-driven framework that leverages large language models (LLMs) to simulate scientific reasoning and peer review to predict efficacious combinatorial therapy when data-driven prediction is infeasible. Results Our proposed framework achieved a significantly higher accuracy (0.74) than traditional knowledge-based prediction (0.52). An ablation study highlighted the importance of high quality few-shot examples, external knowledge integration, self-consistency, and review within the framework. The external validation with private experimental data yielded an accuracy of 0.82, further confirming the framework's ability to generate high-quality hypotheses in biological inference tasks. Our framework offers an automated knowledge-driven hypothesis generation approach when data-driven prediction is not a viable option. Availability and implementation Our source code and data are available at https://github.com/QidiXu96/Coated-LLM",,Evaluating LLMs accuracy in predicting combinatorial therapy for Alzheimer's Disease compared to traditional knowledge-based prediction (??? whatever that means),No,Yes,This isn't a clinical context (generates hypotheses for in vitro experiments),No
"Assessing ChatGPT’s Potential in HIV Prevention Communication: A Comprehensive Evaluation of Accuracy, Completeness, and Inclusivity","With the advancement of artificial intelligence(AI), platforms like ChatGPT have gained traction in different fields, including Medicine. This study aims to evaluate the potential of ChatGPT in addressing questions related to HIV prevention and to assess its accuracy, completeness, and inclusivity. A team consisting of 15 physicians, six members from HIV communities, and three experts in gender and queer studies designed an assessment of ChatGPT. Queries were categorized into five thematic groups: general HIV information, behaviors increasing HIV acquisition risk, HIV and pregnancy, HIV testing, and the prophylaxis use. A team of medical doctors was in charge of developing questions to be submitted to ChatGPT. The other members critically assessed the generated responses regarding level of expertise, accuracy, completeness, and inclusivity. The median accuracy score was 5.5 out of 6, with 88.4% of responses achieving a score ≥ 5. Completeness had a median of 3 out of 3, while the median for inclusivity was 2 out of 3. Some thematic groups, like behaviors associated with HIV transmission and prophylaxis, exhibited higher accuracy, indicating variable performance across different topics. Issues of inclusivity were identified, notably the use of outdated terms and a lack of representation for some communities. ChatGPT demonstrates significant potential in providing accurate information on HIV-related topics. However, while responses were often scientifically accurate, they sometimes lacked the socio-political context and inclusivity essential for effective health communication. This underlines the importance of aligning AI-driven platforms with contemporary health communication strategies and ensuring the balance of accuracy and inclusivity. © The Author(s) 2024.",,,No,Yes,Definitely an ID/primary care clinical task,Yes
Large language models outperform mental and medical health care professionals in identifying obsessive-compulsive disorder,"Despite the promising capacity of large language model (LLM)-powered chatbots to diagnose diseases, they have not been tested for obsessive-compulsive disorder (OCD). We assessed the diagnostic accuracy of LLMs in OCD using vignettes and found that LLMs outperformed medical and mental health professionals. This highlights the potential benefit of LLMs in assisting in the timely and accurate diagnosis of OCD, which usually entails a long delay in diagnosis and treatment. © The Author(s) 2024.",,,Yes,Maybe?,Diagnostic,Yes
"Comparison of ChatGPT-4o, Google Gemini 1.5 Pro, Microsoft Copilot Pro, and Ophthalmologists in the management of uveitis and ocular inflammation: A comparative study of large language models; [Comparaison de ChatGPT-4o, Google Gemini 1.5 Pro, Microsoft Copilot Pro et des ophtalmologues dans la gestion de l'uvéite et de l'inflammation oculaire : une étude comparative sur de grands modèles linguistiques]","Purpose: The aim of this study was to compare the latest large language models (LLMs) ChatGPT-4o, Google Gemini 1.5 Pro and Microsoft Copilot Pro developed by three different companies, with each other and with a group of ophthalmologists, to reveal the strengths and weaknesses of LLMs against each other and against ophthalmologists in the field of uveitis and ocular inflammation. Methods: Using a personal OphthoQuestions (www.ophthoquestions.com) account, a total of 100 questions from 201 questions on uveitis and ocular inflammation out of a total of 4551 questions on OphthoQuestions, including questions involving multimodal imaging, were included in the study using the randomization feature of the website. In November 2024, ChatGPT-4o, Microsoft Copilot Pro, and Google Gemini 1.5 Pro were asked the same 100 questions: 80 multiple-choice and 20 open-ended questions. Each question was categorized as either true or false. A statistical comparison of the accuracy rates was performed. Results: Among the 100 questions, ChatGPT-4o, Google Gemini 1.5 Pro, Microsoft Copilot Pro, and the human group (ophthalmologists) answered 80 (80.00%), 81 (81.00%), 80 (80.00%) and 72 (72.00%) questions, respectively, correctly. In the statistical comparisons between the groups for multiple-choice questions, no significant difference was found between the correct and incorrect response rates of the three LLMs and the human group (P = 0.207, Cochran's Q test). In the statistical comparisons of responses to open-ended questions, there was no significant difference between the correct and incorrect response rates of the three LLMs and the human group (P = 0.392, Cochran's Q test). Conclusion: Although ChatGPT-4o, Google Gemini 1.5 Pro, and Microsoft Copilot Pro answered higher percentages of questions correctly than the human group, the LLMs were not statistically superior to each other or to the human group in the management of uveitis and ocular inflammation. © 2025 Elsevier Masson SAS; Objectif: L'objectif de cette étude était de comparer les derniers grands modèles de langage (LLM) ChatGPT-4o, Google Gemini 1.5 Pro et Microsoft Copilot Pro développés par trois sociétés différentes, entre eux et avec un groupe d'ophtalmologistes, afin de révéler les forces et les faiblesses des LLM les uns par rapport aux autres et par rapport aux ophtalmologistes dans le domaine de l'uvéite et de l'inflammation oculaire. Méthodes: Par l'usage d'un compte personnel OphthoQuestions (www.ophthoquestions.com), un total de 100 questions parmi 201 questions sur l'uvéite et l'inflammation oculaire sur un total de 4551 questions sur OphthoQuestions, y compris les questions impliquant l'imagerie multimodale, ont été incluses dans l’étude en utilisant la fonction de randomisation du site Web. En novembre 2024, les mêmes 100 questions ont été posées à ChatGPT-4o, Microsoft Copilot Pro et Google Gemini 1.5 Pro : 80 questions à choix multiples et 20 questions ouvertes. Chaque question était classée comme vraie ou fausse. Une comparaison statistique des taux de précision a été effectuée. Résultats: Parmi les 100 questions, ChatGPT-4o, Google Gemini 1.5 Pro, Microsoft Copilot Pro et le groupe humain (ophtalmologues) ont répondu correctement à 80 (80,00 %), 81 (81,00 %), 80 (80,00 %) et 72 (72,00 %) d'entre elles, respectivement. Dans les comparaisons statistiques entre les groupes pour les questions à choix multiples, aucune différence significative n'a été trouvée entre les taux de réponses correctes et incorrectes des trois LLM et du groupe humain (p = 0,207, test Q de Cochran). Dans les comparaisons statistiques des réponses aux questions ouvertes, il n'y avait pas de différence significative entre les taux de réponses correctes et incorrectes des trois LLM et du groupe humain (p = 0,392, test Q de Cochran). Conclusion: Bien que ChatGPT-4o, Google Gemini 1.5 Pro et Microsoft Copilot Pro aient répondu correctement à un pourcentage plus élevé de questions que le groupe humain, les LLM n’étaient pas statistiquement supérieurs les uns aux autres ou au groupe humain dans la gestion de l'uvéite et de l'inflammation oculaire. © 2025 Elsevier Masson SAS",,Direct use of LLM to try and manage uveitis and ocular inflamm; however not in english? exclde?,Yes,Maybe?,,Yes
"Accuracy, satisfaction, and impact of custom GPT in acquiring clinical knowledge: Potential for AI-assisted medical education","BACKGROUND: Recent advancements in artificial intelligence (AI) have enabled the customization of large language models to address specific domains such as medical education. This study investigates the practical performance of a custom GPT model in enhancing clinical knowledge acquisition for medical students and physicians. METHODS: A custom GPT was developed by incorporating the latest readily available teaching resources. Its accuracy in providing clinical knowledge was evaluated using a set of clinical questions, and responses were compared against established medical guidelines. Satisfaction was assessed through surveys involving medical students and physicians at different stages and from various types of hospitals. The impact of the custom GPT was further evaluated by comparing its role in facilitating clinical knowledge acquisition with traditional learning methods. RESULTS: The custom GPT demonstrated higher accuracy (83.6%) compared to general AI models (65.5%, 69.1%) and was comparable to a professionally developed AI (Glass Health, 83.6%). Residents reported the highest satisfaction compared to clerks and physicians, citing improved learning independence, motivation, and confidence (p < 0.05). Physicians, especially those from teaching hospitals, showed greater eagerness to develop a custom GPT compared to clerks and residents (p < 0.05). The impact analysis revealed that residents using the custom GPT achieved better test scores compared to those using traditional resources (p < 0.05), though fewer perfect scores were obtained. CONCLUSIONS: The custom GPT demonstrates significant promise as an innovative tool for advancing medical education, particularly for residents. Its capability to deliver accurate, tailored information complements traditional teaching methods, aiding educators in promoting personalized and consistent training. However, it is essential for both learners and educators to remain critical in evaluating AI-generated information. With continued development and thoughtful integration, AI tools like custom GPTs have the potential to significantly enhance the quality and accessibility of medical education.[Box: see text].",,This is use of GPT as a learning tool,Yes,No,Eval is on how the tool improves learning,No
Quality of Information in Carpal Tunnel Syndrome: Social Media Platforms Versus Large Language Models,"Introduction Carpal tunnel syndrome (CTS) is the most common peripheral nerve entrapment disease, and it is a subject of great interest and concern to medical professionals and the general public. Our study aims to analyze and compare the quality and accuracy of the information related to CTS provided by social media platforms (SMPs) and the new large language models (LLM). Methods On YouTube, the first 20 videos in English and the first 20 videos in Spanish when searching for ""carpal tunnel syndrome""and ""síndrome túnel carpo""were selected. On Instagram, the first 20 videos with the hashtag #carpaltunnelsyndrome and #tunelcarpiano were chosen (in total 80 videos). Duration, number of likes, number of views, number of followers, upload date, and author category (medical specialist, patient, etc) were evaluated. Three specific questions about CTS were asked to 2 new LLMs (ChatGPT and Google Bard). The quality of information was analyzed and compared by two independent board-certified plastic surgeons using the Journal of American Medical Association (JAMA) and DISCERN scales. Results LLMs showed a significant higher quality of information when compared with SMPs based on the DISCERN scores (P < 0.05). Average DISCERN scores for answers given by ChatGPT and Google Bard were 52.83 and 57.83, respectively (good quality). In YouTube and Instagram, the average score for the 80 videos based on the JAMA scale was 1.92 (low reliability) and 25.18 (very low quality) on the DISCERN scale. Videos created by medical professionals in SMPs were associated with a higher JAMA and DISCERN scores (P < 0.05). 53.8% of the videos were made by a nonmedical author. Conclusions The quality of information from LLMs was good and significantly better than in SMP. A low participation of board-certified surgeons in SMP was found. Board-certified surgeons should be more involved in LLM and SMPs to increase leadership, improve education, and spread knowledge of peripheral nerve surgery.  © 2025 Wolters Kluwer Health, Inc. All rights reserved.",This is sentiment analysis applied to clinical medicine basically,looking at how LLM does at advice; but it isnt realy the doctors job to be doing social media i guess? i'm torn,No,Maybe?,Not a clinical task,No
Exploring the Potential of Code-Free Custom GPTs in Ophthalmology: An Early Analysis of GPT Store and User-Creator Guidance,"Introduction: OpenAI recently introduced the ability to create custom generative pre-trained transformers (cGPTs) using text-based instruction and/or external documents using retrieval-augmented generation (RAG) architecture without coding knowledge. This study aimed to analyze the features of ophthalmology-related cGPTs and explore their potential utilities. Methods: Data collection took place on January 20 and 21, 2024, and custom GPTs were found by entering ophthalmology keywords into the “Explore GPTS” section of the website. General and specific features of cGPTs were recorded, such as knowledge other than GPT-4 training data. The instruction and description sections were analyzed for compatibility using the Likert scale. We analyzed two custom GPTs with the highest Likert score in detail. We attempted to create a convincingly presented yet potentially harmful cGPT to test safety features. Results: We analyzed 22 ophthalmic cGPTs, of which 55% were for general use and the most common subspecialty was glaucoma (18%). Over half (55%) contained knowledge other than GPT-4 training data. The representation of the instructions through the description was between “Moderately representative” and “Very representative” with a median Likert score of 3.5 (IQR 3.0–4.0). The instruction word count was significantly associated with Likert scores (P = 0.03). Tested cGPTs demonstrated potential for specific conversational tone, information, retrieval and combining knowledge from an uploaded source. With these safety settings, creating a malicious GPT was possible. Conclusions: This is the first study to our knowledge to examine the GPT store for a medical field. Our findings suggest that these cGPTs can be immediately implemented in practice and may offer more targeted and effective solutions compared to the standard GPT-4. However, further research is necessary to evaluate their capabilities and limitations comprehensively. The safety features currently appear to be rather limited. It may be helpful for the user to review the instruction section before using a cGPT. © The Author(s) 2024.",,This is a comparison of early GPTs; it is a look at the GPT store more than an actual test,Yes,No,Not a great study but technically meets criteria. Does report some quantitative metrics regarding LLM response correctness,Yes
Development and Preliminary Evaluation of Remote Pacemaker Monitoring System Using Large Language Model,"A remote monitoring system that periodically transmits information stored in the pacemaker from patients' homes to a hospital is now in widespread use. However, the system requires access to the vendor's cloud server via a browser and consists of date-by-date PDF files, making the creation of aggregate data a significant burden. Since the release of commercially available systems such as ChatG PT, various large language models (LLMs) have been widely used, leading to that semantic search, which can perform searches that take into account the meaning of language, has attracted attention. In this study, we constructed an LLM - based remote monitoring system. Then, as a preliminary evaluation, we examined its effectiveness for RM operations based on the accuracy of RM data aggregation and work time. © 2024 IEEE.",,"This seems more like data collection, but could MAYBE be considered clinical context because it is diagnosing a problem i guess?",No,Maybe?,"This doesn't meet the ""average physician litmus task"" test",No
"Letter to the Editor Regarding the Article: ""Exploring the Capacities of ChatGPT: A Comprehensive Evaluation of Its Accuracy and Repeatability in Addressing Helicobacter pylori-Related Queries""","3082. Helicobacter. 2024 Jul-Aug;29(4):e13131. doi: 10.1111/hel.13131.

Letter to the Editor Regarding the Article: ""Exploring the Capacities of 
ChatGPT: A Comprehensive Evaluation of Its Accuracy and Repeatability in 
Addressing Helicobacter pylori-Related Queries"".

Yang P(1), Jiang J(2).

Author information:
(1)Department of Laboratory Medicine, People's Hospital of Qiannan Prefecture, 
Guizhou, China.
(2)Department of Hepatopancreatobiliary Surgery, Sichuan Cancer Hospital and 
Institute, Sichuan Cancer Center, School of Medicine, University of Electronic 
Science and Technology of China, Chengdu, China.",,This is a letter to the editor on another manuscript around ChatGPT,Yes,No,Letter to the editor,No
Diagnostic Accuracy of ChatGPT for Patients’ Triage; a Systematic Review and Meta-Analysis,"Introduction: Artificial intelligence (AI), particularly ChatGPT developed by OpenAI, has shown the potential to improve diagnostic accuracy and efficiency in emergency department (ED) triage. This study aims to evaluate the diagnostic performance and safety of ChatGPT in prioritizing patients based on urgency in ED settings. Methods: A systematic review and meta-analysis were conducted following PRISMA guidelines. Comprehensive literature searches were performed in Scopus, Web of Science, PubMed, and Embase. Studies evaluating ChatGPT’s diagnostic performance in ED triage were included. Quality assessment was conducted using the QUADAS-2 tool. Pooled accuracy estimates were calculated using a random-effects model, and heterogeneity was assessed with the I2 statistic. Results: Fourteen studies with a total of 1, 412 patients or scenarios were included. ChatGPT 4.0 demonstrated a pooled accuracy of 0.86 (95% CI: 0.64–0.98) with substantial heterogeneity (I2 = 93%). ChatGPT 3.5 showed a pooled accuracy of 0.63 (95% CI: 0.43–0.81) with significant heterogeneity (I2 = 84%). Funnel plots indicated potential publication bias, particularly for ChatGPT 3.5. Quality assessments revealed varying levels of risk of bias and applicability concerns. Conclusions: ChatGPT, especially version 4.0, shows promise in improving ED triage accuracy. However, significant variability and potential biases highlight the need for further evaluation and enhancement. This open-access article distributed under the terms of the Creative Commons Attribution NonCommercial 3.0 License (CC BY-NC 3.0). Downloaded from: https://journals.sbmu.ac.ir/aaem/index.php/AAEM/index",,This is a systematic review,Yes,No,Systematic review,No
MENTALER: Toward Professional Mental Health Support with LLMs via Multi-Role Collaboration,"As mental health issues such as anxiety and depression are increasingly prevalent nowadays, we introduce MENTALER, an advanced multi-role collaboration framework specifically designed to enhance large language models (LLMs) in the diagnosis and treatment of mental health issues. In the MENTALER framework, the mental health support process comprises three specialized roles: Analyzer, Knowledge-Collector, and Strategy-Planner. Analyzer guides LLMs to achieve a in-depth diagnosis via multi-stage chain-of-thought prompting. Knowledge-Collector focus on involving domain-specific knowledge from exemplars retrieval. Strategy-Planner integrates professional support strategies into the generation process to further improve the professionalism among the generated texts. Through extensive automatic and human evaluations, we have validated that the mental health support counseling texts generated by MENTALER demonstrate a high degree of fluency and professionalism, closely aligning with real professional counseling texts. Our research advances the application of LLMs in the field of mental health support, providing an innovative and effective tool for those with psychological problems. © 2024 IEEE.",,"This is a framework, not really an LLM",Yes,No,,No
EpiPathAI: Using Large Language Models to Explore Mechanisms of Life Course Exposure-Outcome Associations,"Large language models (LLMs) enhanced with Graph Retrieval-Augmented Generation (GRAG) are promising for life-course epidemiology, which typically depends on costly and incomplete cohort data. Inspired by the epidemiological pathway model, we introduce EpiPathAI, which combines literature-derived causal knowledge graphs with LLMs to mine bridging variables and synthesize potential mechanisms between gestational diabetes and dementia. We test four GRAG strategies on GPT-4 and evaluate the identified mediators with clinical experts and three other LLM reviewers. The knowledge graph identifies 118 bridging variables, including coronary heart disease and chronic kidney disease, previously validated in our data-driven approach through the UK Biobank. EpiPathAI has identified additional clinically meaningful mediators, including high-level low-density lipoprotein (9.8% of effect, 95% CI: 3.7%-23.2%), and depression, which is a reasonable but statistically non-significant mediator in UK Biobank. EpiPathAI serves as a knowledge-driven mechanism mining agent that complements the data-driven approach, providing a compelling foundation for investigating other mediating pathways in future longitudinal cohort studies.",,,No,Yes,Not a clinical task,No
"Aligning, Autoencoding and Prompting Large Language Models for Novel Disease Reporting","Given radiology images, automatic radiology report generation aims to produce informative text that reports diseases. It can benefit current clinical practice in diagnostic radiology. Existing methods typically rely on large-scale medical datasets annotated by clinicians to train desirable models. However, for novel diseases, sufficient training data are typically not available. We propose a prompt-based deep learning framework, i.e., PromptLLM, to align, autoencode, and prompt the (large) language model to generate reports for novel diseases accurately and efficiently. Our method includes three major steps: (1) aligning visual images and textual reports to learn general knowledge across modalities from diseases where labeled data are sufficient, (2) autoencoding the LLM using unlabeled data of novel diseases to learn the specific knowledge and writing styles of the novel disease, and (3) prompting the LLM with learned knowledge and writing styles to report the novel diseases contained in the radiology images. Through the above three steps, with limited labels on novel diseases, we show that PromptLLM can rapidly learn the corresponding knowledge for accurate novel disease reporting. The experiments on COVID-19 and diverse thorax diseases show that our approach, utilizing 1% of the training data, achieves desirable performance compared to previous methods. It shows that our approach allows us to relax the reliance on labeled data that is common to existing methods. It could have a real-world impact on data analysis during the early stages of novel diseases. Our code and data are available at https://github.com/ai-in-health/PromptLLM.",,,Maybe?,Yes,,Yes
Can large language models predict antimicrobial peptide activity and toxicity?,"Antimicrobial peptides (AMPs) are naturally occurring or designed peptides up to a few tens of amino acids which may help address the antimicrobial resistance crisis. However, their clinical development is limited by toxicity to human cells, a parameter which is very difficult to control. Given the similarity between peptide sequences and words, large language models (LLMs) might be able to predict AMP activity and toxicity. To test this hypothesis, we fine-tuned LLMs using data from the Database of Antimicrobial Activity and Structure of Peptides (DBAASP). GPT-3 performed well but not reproducibly for activity prediction and hemolysis, taken as a proxy for toxicity. The later GPT-3.5 performed more poorly and was surpassed by recurrent neural networks (RNN) trained on sequence-activity data or support vector machines (SVM) trained on MAP4C molecular fingerprint-activity data. These simpler models are therefore recommended, although the rapid evolution of LLMs warrants future re-evaluation of their prediction abilities.",,Evaluating the accuracy of LLMs in predicting antimicrobial efficacy and toxicity,No,Yes,Not a clinical task,No
