Title,Abstract,Include? (GPT-4.1),Comments (GPT-4.1),DOI,Tier,Screener Name,Notes,,313
Embracing the future—is artificial intelligence already better? A comparative study of artificial intelligence performance in diagnostic accuracy and decision-making,"Background and purpose: The integration of artificial intelligence (AI) in healthcare has the potential to revolutionize patient care and clinical decision-making. This study aimed to explore the reliability of large language models in neurology by comparing the performance of an AI chatbot with neurologists in diagnostic accuracy and decision-making. Methods: A cross-sectional observational study was conducted. A pool of clinical cases from the American Academy of Neurology's Question of the Day application was used as the basis for the study. The AI chatbot used was ChatGPT, based on GPT-3.5. The results were then compared to neurology peers who also answered the questions—a mean of 1500 neurologists/neurology residents. Results: The study included 188 questions across 22 different categories. The AI chatbot demonstrated a mean success rate of 71.3% in providing correct answers, with varying levels of proficiency across different neurology categories. Compared to neurology peers, the AI chatbot performed at a similar level, with a mean success rate of 69.2% amongst peers. Additionally, the AI chatbot achieved a correct diagnosis in 85.0% of cases and it provided an adequate justification for its correct responses in 96.1%. Conclusions: The study highlights the potential of AI, particularly large language models, in assisting with clinical reasoning and decision-making in neurology and emphasizes the importance of AI as a complementary tool to human expertise. Future advancements and refinements are needed to enhance the AI chatbot's performance and broaden its application across various medical specialties. © 2024 The Authors. European Journal of Neurology published by John Wiley & Sons Ltd on behalf of European Academy of Neurology.",yes,"This study directly evaluates the clinical performance of a large language model (ChatGPT, GPT-3.5) in diagnostic accuracy and decision-making in neurology, comparing it to human neurologists. It uses clinical cases and assesses the LLM's ability to provide correct diagnoses and justifications, which is a clear clinical application.",10.1111/ene.16195,III,Sully,,,
"Evaluation of Rhinoplasty Information from ChatGPT, Gemini, and Claude for Readability and Accuracy","Objective: Assessment of the readability, accuracy, quality, and completeness of ChatGPT (Open AI, San Francisco, CA), Gemini (Google, Mountain View, CA), and Claude (Anthropic, San Francisco, CA) responses to common questions about rhinoplasty. Methods: Ten questions commonly encountered in the senior author’s (SPM) rhinoplasty practice were presented to ChatGPT-4, Gemini and Claude. Seven Facial Plastic and Reconstructive Surgeons with experience in rhinoplasty were asked to evaluate these responses for accuracy, quality, completeness, relevance, and use of medical jargon on a Likert scale. The responses were also evaluated using several readability indices. Results: ChatGPT achieved significantly higher evaluator scores for accuracy, and overall quality but scored significantly lower on completeness compared to Gemini and Claude. All three chatbot responses to the ten questions were rated as neutral to incomplete. All three chatbots were found to use medical jargon and scored at a college reading level for readability scores. Conclusions: Rhinoplasty surgeons should be aware that the medical information found on chatbot platforms is incomplete and still needs to be scrutinized for accuracy. However, the technology does have potential for use in healthcare education by training it on evidence-based recommendations and improving readability. Level of Evidence V: This journal requires that authors assign a level of evidence to each article. For a full description of these Evidence-Based Medicine ratings, please refer to the Table of Contents or the online Instructions to Authors www.springer.com/00266. © Springer Science+Business Media, LLC, part of Springer Nature and International Society of Aesthetic Plastic Surgery 2024.",yes,"This study evaluates the accuracy, quality, and readability of responses from LLMs (ChatGPT, Gemini, Claude) to common clinical questions about rhinoplasty, as judged by expert surgeons. The focus is on the clinical information provided to patients, which is a direct clinical application relevant to patient education and decision support.",10.1007/s00266-024-04343-0,II,Sully,,,
Potential of ChatGPT and GPT-4 for Data Mining of Free-Text CT Reports on Lung Cancer,"Background: The latest large language models (LLMs) solve unseen problems via user-defined text prompts without the need for retraining, offering potentially more efficient information extraction from free-text medical records than manual annotation. Purpose: To compare the performance of the LLMs ChatGPT and GPT-4 in data mining and labeling oncologic phenotypes from free-text CT reports on lung cancer by using user-defined prompts. Materials and Methods: This retrospective study included patients who underwent lung cancer follow-up CT between September 2021 and March 2023. A subset of 25 reports was reserved for prompt engineering to instruct the LLMs in extracting lesion diameters, labeling metastatic disease, and assessing oncologic progression. This output was fed into a rule-based natural language processing pipeline to match ground truth annotations from four radiologists and derive performance metrics. The oncologic reasoning of LLMs was rated on a five-point Likert scale for factual correctness and accuracy. The occurrence of confabulations was recorded. Statistical analyses included Wilcoxon signed rank and McNemar tests. Results: On 424 CT reports from 424 patients (mean age, 65 years ± 11 [SD]; 265 male), GPT-4 outperformed ChatGPT in extracting lesion parameters (98.6% vs 84.0%, P < .001), resulting in 96% correctly mined reports (vs 67% for ChatGPT, P < .001). GPT-4 achieved higher accuracy in identification of metastatic disease (98.1% [95% CI: 97.7, 98.5] vs 90.3% [95% CI: 89.4, 91.0]) and higher performance in generating correct labels for oncologic progression (F1 score, 0.96 [95% CI: 0.94, 0.98] vs 0.91 [95% CI: 0.89, 0.94]) (both P < .001). In oncologic reasoning, GPT-4 had higher Likert scale scores for factual correctness (4.3 vs 3.9) and accuracy (4.4 vs 3.3), with a lower rate of confabulation (1.7% vs 13.7%) than ChatGPT (all P < .001). Conclusion: When using user-defined prompts, GPT-4 outperformed ChatGPT in extracting oncologic phenotypes from free-text CT reports on lung cancer and demonstrated better oncologic reasoning with fewer confabulations. © RSNA, 2023.",yes,"This study evaluates ChatGPT and GPT-4 for extracting clinical information (lesion diameters, metastatic disease, oncologic progression) from free-text CT reports in lung cancer. While the task is data mining, the extraction and labeling of oncologic phenotypes and assessment of progression are directly relevant to clinical decision-making and patient care, not just data structuring. The study also assesses the models' oncologic reasoning and factual correctness, which are clinical aspects.",10.1148/radiol.231362,I,Sully,,,
Identifying Psychiatric Manifestations in Outpatients with Depression and Anxiety: A Large Language Model-Based Approach,"Purpose: Accurate psychiatric diagnosis and assessment are crucial for effective treatment. However, while current data-driven approaches emphasize diagnostic outcomes, the process of decoding the underlying symptom expressions in patients’ language and mapping them to well-defined psychiatric terminology has received relatively little attention. This study investigates the potential of Large Language Models (LLMs) to automate the identification of diagnostic categories and symptoms from psychiatrist-patient dialogues, to provide interpretable insights and support automatic diagnosis. Methods: We analyzed audio recordings from 1160 psychiatric diagnostic interviews, primarily involving patients with depressive disorder and anxiety disorder. A clinical entities corpus was formed by leveraging clinical annotations in EMRs (e.g., chief complaints, mental status, elements in assessment scales) and widely used assessment scales. LLMs were utilized to identify clinical symptoms, rate assessment scales, and an ensemble learning pipeline was designed to classify diagnostic results and symptoms with 10-fold cross-validation. Results: The system achieved 86.9% accuracy for identifying the appearance of clinical annotations and 74.7% (77.2%) accuracy for identifying anxiety (depression) symptoms. Patients with depression and anxiety, diagnosed using ICD-10 codes, were differentiated with an accuracy of 75.5%. Analysis of LLM-generated features shows that depression cases exhibited prominent markers of anhedonia and decreased volition, whereas anxiety disorders were characterized by tension and an inability to relax. Conclusion: This study demonstrates the potential of integrating LLM technology with linguistic and acoustic features to enhance psychiatric diagnostics. The developed pipeline effectively predicts psychiatric diagnoses and provides interpretable insights, showcasing a valuable tool for clinicians in mental health assessment.",yes,"This study evaluates the use of large language models (LLMs) to identify psychiatric symptoms and support diagnosis from psychiatrist-patient dialogues, directly applying LLMs to a clinical task (diagnosis and symptom identification in mental health). The focus is on clinical application and decision support, not just data processing or technical development.",10.1101/2025.01.03.24318117,I,Sully,,,
Minimizing STOPP and Beers Criteria Risks in PIM Treatments Using PM-TOM and ChatGPT: A Case Study,"2535. Stud Health Technol Inform. 2025 Apr 8;323:149-153. doi: 10.3233/SHTI250067.

Minimizing STOPP and Beers Criteria Risks in PIM Treatments Using PM-TOM and 
ChatGPT: A Case Study.

Kulenovic A(1), Lagumdzija-Kulenovic A(1).

Author information:
(1)Absolute Information Age, Inc. Toronto, Canada.

PM-TOM (Personalized Medicine-Therapy Optimization Method) is a clinical 
decision-support tool designed to optimize polypharmacy treatments by minimizing 
their adverse drug reactions (ADRs) caused by individual drugs or drug 
interactions (DDIs, DCIs, DFIs, DGIs), along with the risks identified by the 
STOPP and Beers criteria. On the other hand, AI tools like ChatGPT 4.0, trained 
on medical literature texts, can provide broader clinical reasoning and insights 
tailored to individual patient contexts. By referring to a documented 
deprescribing case, this study demonstrates the synergistic power of PM-TOM and 
ChatGPT in optimizing potentially inappropriate medication (PIM) treatments. A 
malnourished older woman was admitted to a deprescribing facility with recurrent 
falls, hypertension, ischemic heart disease, depression, osteoarthritis, 
osteoporosis, and GERD. She was initially prescribed acetaminophen, alendronate, 
omeprazole, lisinopril, metoprolol, aspirin, citalopram, and vitamin D, which 
were assessed as inadequate. While the discharge regimen improved some 
conditions by replacing alendronate with zoledronic acid and reducing some drug 
dosages, PM-TOM revealed that key risks, stemming primarily from omeprazole, 
aspirin, and citalopram, remained unaddressed. The discharge treatment was 
optimized with PM-TOM after considering alternative drug classes suggested by 
ChatGPT and elaborated in the available medical literature. In the optimized 
treatment, omeprazole (PPI) was replaced with famotidine (H2-blocker), 
citalopram (SSRI) with agomelatine (atypical antidepressant), zoledronic acid 
(bisphosphonate) with denosumab (RANK ligand inhibitor), aspirin (NSAID) with 
ticagrelor (antiplatelet), and lisinopril with benazepril (ACE inhibitor). These 
changes significantly reduced possible ADRs and the geriatric care criteria 
risks. Finally, ChatGPT validated the proposed adjustments, confirming their 
alignment with the guidelines and highlighting the potential for longer-term 
benefits. This case study illustrates how a combined use of PM-TOM and AI tools 
can effectively support the clinical decision-making process by optimizing 
polypharmacy treatments and minimizing their PIMs, major contributors to 
morbidity in older adults and high healthcare costs.",yes,"This study evaluates the use of ChatGPT (an LLM) in a clinical decision-support context, specifically for optimizing polypharmacy treatments and minimizing potentially inappropriate medications (PIMs) in an older adult. The LLM is used to suggest alternative drug classes and validate treatment adjustments, which are directly related to clinical care and decision-making.",10.3233/SHTI250067,X,Sully,This is a case report,,
ChatGPT as a Virtual Patient: Written Empathic Expressions During Medical History Taking,"Objective: Virtual patients are already utilized in the teaching of medical history taking. Since its emergence, ChatGPT has been integrated into several areas of medical education. This study aimed to examine whether ChatGPT can be used to train empathic history taking while fostering students’ subjective autonomy. Methods: Third-year medical students took histories with ChatGPT 3.5 after entering a predefined prompt covering cardiological diseases. Afterwards, students answered a questionnaire regarding their experienced autonomy. All chats were analyzed using the Empathic Communication Coding System measuring ChatGPT’s given empathic opportunities as well as students’ responses. Results: Out of 659 interactions, 93 were identified as empathic. ChatGPT provided opportunities mostly through reporting emotional statements or challenges. Students sometimes missed reacting adequately to ChatGPT’s opportunities but more often responded by implicit recognition of patient perspective and reported a high level of experienced autonomy. Conclusions: The study yielded preliminary results that ChatGPT might be suitable as a tool mimicking a virtual patient while enabling an empathic history taking. To date, ChatGPT seems valid as a supplement to training with simulated patients. Medical faculty could consider integrating ChatGPT into teaching, such as through a flipped classroom approach, to guide students in its use as ChatGPT continues to gain attention. © The Author(s) 2025.",yes,"This study evaluates ChatGPT-3.5 as a virtual patient for training medical students in empathic history taking, a clinical education context. It assesses ChatGPT's ability to simulate patient interactions and provide empathic opportunities, which is a direct clinical application relevant to medical training.",10.1007/s40670-025-02342-7,III,Sully,,,
GPT-4 accuracy and completeness against International Consensus Statement on Allergy and Rhinology: Rhinosinusitis,"19. Int Forum Allergy Rhinol. 2023 Dec;13(12):2231-2234. doi: 10.1002/alr.23201. 
Epub 2023 Jun 16.

GPT-4 accuracy and completeness against International Consensus Statement on 
Allergy and Rhinology: Rhinosinusitis.

Yoshiyasu Y(1), Wu F(2), Dhanda AK(2), Gorelik D(2), Takashima M(2), Ahmed 
OG(2).

Author information:
(1)Department of Otolaryngology-Head and Neck Surgery, University of Texas 
Medical Branch, Galveston, Texas, USA.
(2)Department of Otolaryngology-Head and Neck Surgery, Houston Methodist 
Hospital, Houston, Texas, USA.

GPT-4 is an AI language model that can answer basic questions about rhinologic 
disease. Vetting is needed before AI models can be safely integrated into 
otolarygologic patient care.

© 2023 ARS-AAOA, LLC.",yes,"The study evaluates GPT-4's accuracy and completeness in answering questions about rhinosinusitis, referencing an international clinical consensus statement. This is a direct clinical evaluation of a frontier LLM in a healthcare context.",10.1002/alr.23201,III,Sully,,,
ChatGPT Can Often Respond Adequately to Common Patient Questions Regarding Femoroacetabular Impingement,"Objective: This study aims to analyze the ability of ChatGPT to answer frequently asked questions (FAQs) regarding FAI.We hypothesize that ChatGPT can provide accurate and thorough responses when presented with FAQs regarding FAI.Design: Ten FAQs regarding FAI were presented to ChatGPT 3.5 and initial responses were recorded and analyzed against evidence-based literature.Responses were rated as “excellent response requiring no further clarification, ” “satisfactory response requiring minimal clarification, ” “satisfactory response requiring moderate clarification, ” or “unsatisfactory response requiring substantial clarification.” Setting: Institutional.Independent Variables: Frequently asked questions regarding femoroacetabular impingement.Main Outcome Measures: Accuracy and thoroughness of ChatGPT responses to FAQs.Hypothesis was formulated before data collection.Results: Most responses from ChatGPT were rated as satisfactory and required only minimal clarification.Two responses received an excellent rating and required no further clarification, while only 1 response from ChatGPT was rated unsatisfactory and required substantial clarification.Conclusions: ChatGPT provided largely accurate and thorough responses to FAQs regarding FAI while appropriately reiterating the importance of always consulting a medical professional. Copyright © 2024 Wolters Kluwer Health, Inc.All rights reserved.",yes,"This study evaluates ChatGPT's ability to answer common patient questions about femoroacetabular impingement, directly assessing its clinical utility in patient communication. The study uses a clinical context and measures the accuracy and thoroughness of LLM-generated responses to patient FAQs.",10.1097/JSM.0000000000001327,II,Sully,,,
MedGen: An Explainable Multi-Agent Architecture for Clinical Decision Support through Multisource Knowledge Fusion,"Agents in medical decision support have been extensively researched, particularly in areas like evidence support, multimorbidity management, and patient-specific needs. However, current approaches lack a unified method to address real-time evidence updates, manage multiple diseases independently, and incorporate personalized patient needs. Existing Large Language Model (LLM) agents are limited by their reliance on static knowledge bases, hindering their ability to promptly update clinical guidelines and meet diverse patient requirements. Moreover, the interpretability of LLMs remains a significant concern, leading to skepticism in their medical application. To address these challenges, we developed MedGen, a multi-agent architecture that decomposes the clinical decision-making process into stages such as clinical goal setting, data collection, argumentation linking, and plan selection. This structured approach allows LLM agents to provide both reasoning evidence and a transparent reasoning process, enhancing the reliability and interpretability of outcomes. Finally, a case study of breast cancer and depression is combined to illustrate our architecture. © 2024 IEEE.",yes,"The study presents a multi-agent architecture (MedGen) that uses LLM agents for clinical decision support, specifically addressing clinical goal setting, data collection, and plan selection. The abstract mentions a case study involving breast cancer and depression, indicating a clinical application of LLMs. The focus is on improving interpretability and reliability in clinical decision-making, which aligns with the inclusion criteria.",10.1109/BIBM62325.2024.10822186,II,Sully,,,
Structured clinical reasoning prompt enhances LLM’s diagnostic capabilities in diagnosis please quiz cases,"Purpose: Large Language Models (LLMs) show promise in medical diagnosis, but their performance varies with prompting. Recent studies suggest that modifying prompts may enhance diagnostic capabilities. This study aimed to test whether a prompting approach that aligns with general clinical reasoning methodology—specifically, using a standardized template to first organize clinical information into predefined categories (patient information, history, symptoms, examinations, etc.) before making diagnoses, instead of one-step processing—can enhance the LLM’s medical diagnostic capabilities. Materials and methods: Three hundred twenty two quiz questions from Radiology’s Diagnosis Please cases (1998–2023) were used. We employed Claude 3.5 Sonnet, a state-of-the-art LLM, to compare three approaches: (1) Baseline: conventional zero-shot chain-of-thought prompt, (2) two-step approach: structured two-step approach: first, the LLM systematically organizes clinical information into two distinct categories (patient history and imaging findings), then separately analyzes this organized information to provide diagnoses, and (3) Summary-only approach: using only the LLM-generated summary for diagnoses. Results: The two-step approach significantly outperformed the both baseline and summary-only approaches in diagnostic accuracy, as determined by McNemar’s test. Primary diagnostic accuracy was 60.6% for the two-step approach, compared to 56.5% for baseline (p = 0.042) and 56.3% for summary-only (p = 0.035). For the top three diagnoses, accuracy was 70.5, 66.5, and 65.5% respectively (p = 0.005 for baseline, p = 0.008 for summary-only). No significant differences were observed between the baseline and summary-only approaches. Conclusion: Our results indicate that a structured clinical reasoning approach enhances LLM’s diagnostic accuracy. This method shows potential as a valuable tool for deriving diagnoses from free-text clinical information. The approach aligns well with established clinical reasoning processes, suggesting its potential applicability in real-world clinical settings. © The Author(s) 2024.",yes,"This study evaluates the diagnostic performance of a state-of-the-art LLM (Claude 3.5 Sonnet) on clinical radiology quiz cases, specifically testing how different prompting strategies affect its ability to make medical diagnoses. The focus is on clinical reasoning and diagnostic accuracy, which is a direct clinical application of LLMs.",10.1007/s11604-024-01712-2,III,Sully,,,
Evaluating large language models as patient education tools for inflammatory bowel disease: A comparative study,"BACKGROUND Inflammatory bowel disease (IBD) is a global health burden that affects millions of individuals worldwide, necessitating extensive patient education. Large language models (LLMs) hold promise for addressing patient information needs. However, LLM use to deliver accurate and comprehensible IBD-related medical information has yet to be thoroughly investigated. AIM To assess the utility of three LLMs (ChatGPT-4.0, Claude-3-Opus, and Gemini-1.5- Pro) as a reference point for patients with IBD. METHODS In this comparative study, two gastroenterology experts generated 15 IBD-related questions that reflected common patient concerns. These questions were used to evaluate the performance of the three LLMs. The answers provided by each model were independently assessed by three IBD-related medical experts using a Likert scale focusing on accuracy, comprehensibility, and correlation. Simultaneously, three patients were invited to evaluate the comprehensibility of their answers. Finally, a readability assessment was performed. RESULTS Overall, each of the LLMs achieved satisfactory levels of accuracy, comprehensibility, and completeness when answering IBD-related questions, although their performance varies. All of the investigated models demonstrated strengths in providing basic disease information such as IBD definition as well as its common symptoms and diagnostic methods. Nevertheless, when dealing with more complex medical advice, such as medication side effects, dietary adjustments, and complication risks, the quality of answers was inconsistent between the LLMs. Notably, Claude-3-Opus generated answers with better readability than the other two models. CONCLUSION LLMs have the potential as educational tools for patients with IBD; however, there are discrepancies between the models. Further optimization and the development of specialized models are necessary to ensure the accuracy and safety of the information provided.  © The Author(s) 2025.",yes,"This study evaluates the performance of three frontier LLMs (ChatGPT-4.0, Claude-3-Opus, Gemini-1.5-Pro) in answering patient questions about IBD, with a focus on clinical accuracy, comprehensibility, and readability. The LLMs are assessed in a clinical context as patient education tools, which is a direct clinical application.",10.3748/wjg.v31.i6.102090,II,Sully,,,
"Leveraging GPT-4 for identifying cancer phenotypes in electronic health records: A performance comparison between GPT-4, GPT-3.5-turbo, Flan-T5, Llama-3-8B, and spaCy's rule-based and machine learning-based methods","Objective: Accurately identifying clinical phenotypes from Electronic Health Records (EHRs) provides additional insights into patients' health, especially when such information is unavailable in structured data. This study evaluates the application of OpenAI's Generative Pre-trained Transformer (GPT)-4 model to identify clinical phenotypes from EHR text in non-small cell lung cancer (NSCLC) patients. The goal was to identify disease stages, treatments and progression utilizing GPT-4, and compare its performance against GPT-3.5-turbo, Flan-T5-xl, Flan-T5-xxl, Llama-3-8B, and 2 rule-based and machine learning-based methods, namely, scispaCy and medspaCy. Materials and Methods: Phenotypes such as initial cancer stage, initial treatment, evidence of cancer recurrence, and affected organs during recurrence were identified from 13 646 clinical notes for 63 NSCLC patients from Washington University in St. Louis, Missouri. The performance of the GPT-4 model is evaluated against GPT-3.5-turbo, Flan-T5-xxl, Flan-T5-xl, Llama-3-8B, medspaCy, and scispaCy by comparing precision, recall, and micro-F1 scores. Results: GPT-4 achieved higher F1 score, precision, and recall compared to Flan-T5-xl, Flan-T5-xxl, Llama-3-8B, medspaCy, and scispaCy's models. GPT-3.5-turbo performed similarly to that of GPT-4. GPT, Flan-T5, and Llama models were not constrained by explicit rule requirements for contextual pattern recognition. spaCy models relied on predefined patterns, leading to their suboptimal performance. Discussion and Conclusion: GPT-4 improves clinical phenotype identification due to its robust pre-training and remarkable pattern recognition capability on the embedded tokens. It demonstrates data-driven effectiveness even with limited context in the input. While rule-based models remain useful for some tasks, GPT models offer improved contextual understanding of the text, and robust clinical phenotype extraction. © 2024 The Author(s).",yes,"This study evaluates GPT-4 and other LLMs for extracting clinical phenotypes (e.g., cancer stage, treatment, recurrence) from EHRs in NSCLC patients. The task is clinically relevant as it involves identifying disease characteristics directly from clinical notes, which can impact patient care and decision-making. The comparison with other LLMs and non-LLM methods further strengthens its relevance.",10.1093/jamiaopen/ooae060,I,Sully,,,
Evaluating ChatGPT's Performance in Responding to Questions About Endoscopic Procedures for Patients,"Background and aims: We aimed to assess the accuracy, completeness, and consistency of ChatGPT's responses to frequently asked questions concerning the management and care of patients receiving endoscopic procedures and to compare its performance to Generative Pre-trained Transformer 4 (GPT-4) in providing emotional support. Methods: Frequently asked questions (N = 117) about esophagogastroduodenoscopy (EGD), colonoscopy, endoscopic ultrasound (EUS), and endoscopic retrograde cholangiopancreatography (ERCP) were collected from professional societies, institutions, and social media. ChatGPT's responses were generated and graded by board-certified gastroenterologists and advanced endoscopists. Emotional support questions were assessed by a psychiatrist. Results: ChatGPT demonstrated high accuracy in answering questions about EGD (94.8% comprehensive or correct but insufficient), colonoscopy (100% comprehensive or correct but insufficient), ERCP (91% comprehensive or correct but insufficient), and EUS (87% comprehensive or correct but insufficient). No answers were deemed entirely incorrect (0%). Reproducibility was significant across all categories. ChatGPT's emotional support performance was inferior to the newer GPT-4 model. Conclusion: ChatGPT provides accurate and consistent responses to patient questions about common endoscopic procedures and demonstrates potential as a supplementary information resource for patients and healthcare providers.",yes,"This study evaluates ChatGPT's (and GPT-4's) ability to answer patient questions about endoscopic procedures, including both informational and emotional support aspects. The responses are graded by clinical experts, and the focus is on clinical communication and support for patients. This fits the inclusion criteria as it assesses LLMs in a clinical context.",10.1101/2023.05.31.23290800,II,Sully,,,
Performance of large language artificial intelligence models on solving restorative dentistry and endodontics student assessments,"OBJECTIVES: The advent of artificial intelligence (AI) and large language model (LLM)-based AI applications (LLMAs) has tremendous implications for our society. This study analyzed the performance of LLMAs on solving restorative dentistry and endodontics (RDE) student assessment questions. MATERIALS AND METHODS: 151 questions from a RDE question pool were prepared for prompting using LLMAs from OpenAI (ChatGPT-3.5,-4.0 and -4.0o) and Google (Gemini 1.0). Multiple-choice questions were sorted into four question subcategories, entered into LLMAs and answers recorded for analysis. P-value and chi-square statistical analyses were performed using Python 3.9.16. RESULTS: The total answer accuracy of ChatGPT-4.0o was the highest, followed by ChatGPT-4.0, Gemini 1.0 and ChatGPT-3.5 (72%, 62%, 44% and 25%, respectively) with significant differences between all LLMAs except GPT-4.0 models. The performance on subcategories direct restorations and caries was the highest, followed by indirect restorations and endodontics. CONCLUSIONS: Overall, there are large performance differences among LLMAs. Only the ChatGPT-4 models achieved a success ratio that could be used with caution to support the dental academic curriculum. CLINICAL RELEVANCE: While LLMAs could support clinicians to answer dental field-related questions, this capacity depends strongly on the employed model. The most performant model ChatGPT-4.0o achieved acceptable accuracy rates in some subject sub-categories analyzed.",yes,"This study evaluates the performance of several generative LLMs (ChatGPT-3.5, ChatGPT-4.0, ChatGPT-4.0o, and Gemini 1.0) on student assessment questions in restorative dentistry and endodontics. The focus is on clinical knowledge relevant to dental education, and the results are discussed in terms of their potential to support clinicians and the dental curriculum. This fits the inclusion criteria as it assesses LLMs in a clinical/medical education context.",10.1007/s00784-024-05968-w,III,Sully,,,
Capabilities of GPT-4 in ophthalmology: an analysis of model entropy and progress towards human-level medical question answering,"Background Evidence on the performance of Generative Pre-trained Transformer 4 (GPT-4), a large language model (LLM), in the ophthalmology question-answering domain is needed. Methods We tested GPT-4 on two 260-question multiple choice question sets from the Basic and Clinical Science Course (BCSC) Self-Assessment Program and the OphthoQuestions question banks. We compared the accuracy of GPT-4 models with varying temperatures (creativity setting) and evaluated their responses in a subset of questions. We also compared the best-performing GPT-4 model to GPT-3.5 and to historical human performance. Results GPT-4-0.3 (GPT-4 with a temperature of 0.3) achieved the highest accuracy among GPT-4 models, with 75.8% on the BCSC set and 70.0% on the OphthoQuestions set. The combined accuracy was 72.9%, which represents an 18.3% raw improvement in accuracy compared with GPT-3.5 (p<0.001). Human graders preferred responses from models with a temperature higher than 0 (more creative). Exam section, question difficulty and cognitive level were all predictive of GPT-4-0.3 answer accuracy. GPT-4-0.3's performance was numerically superior to human performance on the BCSC (75.8% vs 73.3%) and OphthoQuestions (70.0% vs 63.0%), but the difference was not statistically significant (p=0.55 and p=0.09). Conclusion GPT-4, an LLM trained on non-ophthalmology-specific data, performs significantly better than its predecessor on simulated ophthalmology board-style exams. Remarkably, its performance tended to be superior to historical human performance, but that difference was not statistically significant in our study.  © Author(s) (or their employer(s)) 2024. No commercial re-use. See rights and permissions. Published by BMJ.",yes,"This study evaluates GPT-4, a large language model, on ophthalmology board-style exam questions and compares its performance to GPT-3.5 and human performance. The focus is on clinical question answering, which is a direct clinical application relevant to healthcare.",10.1136/bjo-2023-324438,III,Sully,,,
TCM-GPT: Efficient pre-training of large language models for domain adaptation in Traditional Chinese Medicine,"Pre-training and fine-tuning have emerged as a promising paradigm across various natural language processing (NLP) tasks. The effectiveness of pretrained large language models (LLM) has witnessed further enhancement, holding potential for applications in the field of medicine, particularly in the context of Traditional Chinese Medicine (TCM). However, the application of these general models to specific domains often yields suboptimal results, primarily due to challenges like lack of domain knowledge, unique objectives, and computational efficiency. Furthermore, their effectiveness in specialized domains, such as Traditional Chinese Medicine, requires comprehensive evaluation. To address the above issues, we propose a novel domain specific TCMDA (TCM Domain Adaptation) approach, efficient pre-training with domain-specific corpus. Specifically, we first construct a large TCM-specific corpus, TCM-Corpus-1B, by identifying domain keywords and retrieving from general corpus. Then, our TCMDA leverages the LoRA which freezes the pretrained model's weights and uses rank decomposition matrices to efficiently train specific dense layers for pre-training and fine-tuning, efficiently aligning the model with TCM-related tasks, namely TCM-GPT-7B. We further conducted extensive experiments on two TCM tasks, including TCM examination and TCM diagnosis. TCM-GPT-7B archived the best performance across both datasets, outperforming other models by relative increments of 17% and 12% in accuracy, respectively. To the best of our knowledge, our study represents the pioneering validation of domain adaptation of a large language model with 7 billion parameters in TCM domain. We will release both TCM-Corpus-1B and TCM-GPT-7B model once accepted to facilitate interdisciplinary development in TCM and NLP, serving as the foundation for further study. © 2024 The Authors",yes,"This study evaluates a domain-adapted large language model (TCM-GPT-7B) on clinical tasks specific to Traditional Chinese Medicine, such as TCM examination and diagnosis. The abstract describes experimental evaluation of the LLM's performance on these clinical tasks, which fits the inclusion criteria.",10.1016/j.cmpbup.2024.100158,III,Sully,,,
Chat Generative Pre-Trained Transformer (ChatGPT) – 3.5 Responses Require Advanced Readability for the General Population and May Not Effectively Supplement Patient-Related Information Provided by the Treating Surgeon Regarding Common Questions About Rotator Cuff Repair,"Purpose: To investigate the accuracy of Chat Generative Pre-Trained Transformer (ChatGPT)’s responses to frequently asked questions prior to rotator cuff repair surgery. Methods: The 10 most common frequently asked questions related to rotator cuff repair were compiled from 4 institution websites. Questions were then input into ChatGPT-3.5 in 1 session. The provided ChatGPT-3.5 responses were analyzed by 2 orthopaedic surgeons for reliability, quality, and readability using the Journal of the American Medical Association Benchmark criteria, the DISCERN score, and the Flesch-Kincaid Grade Level. Results: The Journal of the American Medical Association Benchmark criteria score was 0, indicating the absence of reliable source material citations. The mean Flesch-Kincaid Grade Level was 13.4 (range, 11.2-15.0). The mean DISCERN score was 43.4 (range, 36-51), indicating that the quality of the responses overall was considered fair. All responses cited making final decision-making to be made with the treating physician. Conclusions: ChatGPT-3.5 provided substandard patient-related information in alignment with recommendations from the treating surgeon regarding common questions around rotator cuff repair surgery. Additionally, the responses lacked reliable source material citations, and the readability of the responses was relatively advanced with a complex language style. Clinical Relevance: The findings of this study suggest that ChatGPT-3.5 may not effectively supplement patient-related information in the context of recommendations provided by the treating surgeon prior to rotator cuff repair surgery. © 2024 Arthroscopy Association of North America",yes,"This study evaluates ChatGPT-3.5's responses to common patient questions about rotator cuff repair, assessing their reliability, quality, and readability. It directly tests the LLM's ability to provide clinical information to patients, which is a clinical application relevant to healthcare.",10.1016/j.arthro.2024.05.009,II,Sully,,,
